Date,Open,High,Low,Close,Volume,Market Cap
"Dec 02, 2015",361.85,362.23,349.46,359.19,54160500,5394070000
"Dec 01, 2015",377.41,378.93,356.56,362.49,60452200,5624580000
"Nov 30, 2015",371.44,382.36,370.38,377.32,71701600,5534000000
"Nov 29, 2015",357.47,371.94,355.67,371.29,40409300,5324610000
"Nov 28, 2015",357.14,359.54,352.17,357.38,36816600,5318300000
"Nov 27, 2015",351.86,363.59,347.87,358.04,55179100,5238500000
"Nov 26, 2015",328.3,366.76,328.23,352.68,106105000,4886330000
"Nov 25, 2015",320.05,329.13,316.77,328.21,41666900,4762230000
"Nov 24, 2015",323.01,323.06,318.12,320.05,29362600,4805160000
"Nov 23, 2015",324.35,325.12,321.29,323.05,27478900,4823700000
"Nov 22, 2015",326.98,327.01,321.26,324.54,23439400,4861340000
"Nov 21, 2015",322.09,328.16,319.6,326.93,28200500,4787340000
"Nov 20, 2015",326.41,326.47,312.22,322.02,53152900,4850170000
"Nov 19, 2015",334.68,335.33,325.27,326.15,45011100,4971880000
"Nov 18, 2015",334.59,336.53,330.64,334.59,43783800,4969330000
"Nov 17, 2015",330.36,338.35,329.61,335.09,51001600,4905260000
"Nov 16, 2015",319.74,331.63,315.9,330.75,47980100,4746070000
"Nov 15, 2015",333.05,334.66,317.49,320.17,44213100,4942420000
"Nov 14, 2015",336.62,338.18,329.97,332.91,38612000,4994250000
"Nov 13, 2015",338.5,340.91,326.07,336.75,52003000,5020700000
"Nov 12, 2015",314.08,345.08,313.36,338.15,78477800,4657240000
"Nov 11, 2015",339.82,340.58,301,311.08,107070000,5037510000
"Nov 10, 2015",379.98,381.39,329.11,336.82,95797900,5631520000
"Nov 09, 2015",374.32,385.28,362.89,380.26,68224400,5546240000
"Nov 08, 2015",384.28,389.89,368.7,373.37,51817600,5692390000
"Nov 07, 2015",374.27,390.59,372.43,386.48,56625100,5542680000
"Nov 06, 2015",388.05,395.84,354.02,374.47,122687000,5745320000
"Nov 05, 2015",408.08,447.56,374.58,386.35,151825000,6040410000
"Nov 04, 2015",403.66,495.56,380.55,411.56,263900000,5973510000
"Nov 03, 2015",361.87,417.9,357.65,403.42,206162000,5353680000
"Nov 02, 2015",325.94,365.36,323.21,361.19,101918000,4820850000
